0	(re)zip	Booth: N2046	['Austin,', 'TX', 'United States']	Rezip Co. designs thoughtful products to help  consumers live a simpler, greener lifestyle. (re)zip® Reusable Storage Bags are the original  food-safe, lightweight, leakproof, freezer-safe  reusable bags. They are designed to simplify  food storage, and make it easy  for consumers to consciously reduce single-use  plastic baggies. (re)zip Reusable Storage Bags  are available in an assortment of sizes and styles  to accommodate a variety of uses including food  prep, pantry storage, organization, and more	Brands: Rezip	['Home', 'Pet', 'Special Attributes']	[['Household Supplies', 'Kitchen & Dining', 'Miscellaneous'], ['Pet Food - Cat', 'Pet Food - Dog'], ['Sustainability']]
202	Barentz	Booth: 2886	['Avon,', 'OH', 'United States']	Barentz is a leading global life science ingredients distributor. The company sources branded specialty ingredients from leading manufacturers worldwide and its ingredient experts provide value-added technical support which includes pre-mixing, blending, ingredient formulation and ingredient testing from its state-of-the-art, customized formulation centers and application laboratories in EMEA, Americas and Asia-Pacific.	N/A	['Raw Ingredients', 'Special Attributes']	[['Branded Ingredients', 'Fats & Oils', '**flavors', 'Proteins/Amino Acids', 'Starch & Dextrin', 'Sugar'], ['Allergy Free', 'Flavorings', 'Organic Ingredients']]
203	Bari Olive Oil Company	Booth: 5531	['Dinuba,', 'CA', 'United States']	 Bari Olive Oil Company is a leader in organic olive oil production here in the US. Our complete line of locally-grown certified organic olive oil, infused olive oil, and vinegar make a suitable addition to your product offering. Think Local, Think Bari. 	Brands: Bari Olive Oil	['Special Attributes']	[['Food Service Ready', 'Allergy Free', 'Organic Food & Bev', 'Organic Ingredients', 'Full Line Organic']]
204	Barilla	Booth: 5047, 5055	['Northbrook,', 'IL', 'United States']	Founded in Sweden in 1919, Wasa distributes crispbread products in more than 40 countries around the world.	Brands: Wasa	['Bakery', 'Special Attributes']	[['Bagels'], ['Specialty/Gourmet']]
205	BARIS	Booth: 8002	['Miami,', 'FL', 'United States']	N/A	N/A	['Frozen', 'Snacks']	[['Frozen Desserts'], ['Fruit Snacks']]
206	Barlean's	Booth: 3605	['Ferndale,Â', 'WA', 'United States']	Barlean's has been making healthy oils and supplements in the Pacific Northwest for over 30 years. We're still family owned and committed to rigorous standards for sourcing, manufacturing, offering true nutritional value and safety. When it comes to CBD, we openly provide third-party test results on all products. Barlean's is US Hemp Authority certified, ensuring that our CBD products are made from legal hemp and adhere to the highest quality standards.	Brands: Seriously Delicious Omega-3
Organic Flax Oils
Omega Pals
Forti-Flax Flaxseed
Fresh Catch Fish Oils
Powdered Greens
Olive Leaf Complex
Organic Coconut Oils
Brevail 
Essential Woman
Ideal CBD Hemp Oil
Seriously Delicious CBD
CBD More!
CBD for Dogs	['Special Attributes']	[['Kosher/Parve']]
207	Bass Brushes Company	Booth: 2805	['Las Vegas,', 'NV', 'United States']	Finest Quality Hair, Body, and Skin Care Products and Accessories.	Brands: Bass, R.S. Stein	['Cosmetics Personal Care']	[["Men's Personal Care & Grooming", 'Hair Removal & Shaving']]
208	BATA FOOD LLC	Booth: 1414	['Hoboken,', 'NJ', 'United States']	N/A	N/A	['Raw Ingredients', 'Seasonings & Spices', 'Snacks', 'Special Attributes', 'Dried Beans, Rice & Grains', 'Herbs & Functional Foods']	[['Herbs'], ['Herbs & Spices'], ['Nuts & Seeds', 'Dried Fruit'], ['Cocoa', 'Dairy Free', 'Gluten/Wheat Free', 'Kosher/Parve', 'Organic Food & Bev', 'Organic Ingredients', 'Vegan'], ['Dried Grains'], ['Herbs & Functional Foods']]
209	Batory Foods	Booth: 1446	['Rosemont,', 'IL', 'United States']	Batory Sweetener Solutions is a sweetener focused business unit of Batory Foods, dedicated to any and all initiatives surrounding food & beverage dedicated to any and all initiatives surrounding food & beverage sugar and sugar alternative innovations with options in custom blends as well as single ingredients.	N/A	['Raw Ingredients']	[['Other']]
210	Bauducco	Booth: 362	['Miami,', 'FL', 'United States']	N/A	N/A	['Bakery', 'Snacks']	[['Bread', 'Cakes', 'Cookies'], ['Crackers']]
211	BAY CITIES	Booth: 2926	['PICO RIVERA,', 'CA', 'United States']	N/A	N/A	['Packaging']	[['Biodegradable Packaging', 'Packaging Material', 'Paper Products', 'Recycled Products']]
212	Bay State Milling Company	Booth: 1711	['Quincy,', 'MA', 'United States']	Bay State Milling Company’s Trusted Family of Ingredients delivers nutritious and affordable solutions for grain-based foods. Our plant based portfolio includes traditional and specialty flours, ancient grains, flavorful seeds and sweet spices. Our newest, innovative ingredients include HealthSense™ High Fiber Wheat, SowNaked ™ Mindfully Farmed Oats and SimplySafe™ Heat Treatment technology. Conventional, organic, sprouted, gluten-free and customized options are available.	Brands: HealthSense®, SowNaked® , SimplySafe,  BeneGrain®, OrganicEssentials®, GrainEssentials®, BakingEssentials®, Bakers Elements®,	['Bakery', 'Baking & Cooking Ingredients', 'Special Attributes']	[['Bagels', 'Bread', 'Flatbread', 'Muffins', 'Pizza Crusts', 'Tortillas & Wraps', 'Waffles'], ['Baking & Cooking Mixes'], ['Gluten/Wheat Free']]
213	BBFY Industrial USA Inc.	Booth: 4678	['City of Industry,', 'CA', 'United States']	BBFY Industrial USA Inc. serves good citric acid anhydrous for the US Market. For other products, please see product list.  BBFY has the professional sales team most of them have over 10 years’ sales experience, and we have the support of our own branch Thai company Sunshine Biotech International Co., Ltd.  Also, we can do our best service in the US market, especially in the west coast of the US for Citric Acid products.	Brands: Sunshine Biotech -Citric acid ,BBCA L-Malic acid , Anhui Tiger Vitamin	['Raw Ingredients']	[['Other', 'Vitamins']]
214	BCFoods & Culinary Farms	Booth: 1584	['Woodland,', 'CA', 'United States']	Culinary Farms offers a unique line of products including dried tomatoes, specialty chilies, roasted and smoked products, and custom flavors and seasonings. Culinary Farms’ seasoning and ingredient products are artisan quality, manufactured through blending the best of old-world methods with modern and efficient technology. Visit us at booth 1763 to explore our wide array of offerings.	Brands: Culinary Farms	['Raw Ingredients', 'Special Attributes', 'Frozen', 'Herbs & Functional Foods', 'Seasonings & Spices']	[['**flavors', 'Fruits & Vegetables', 'Herbs'], ['Flavorings', 'Kosher/Parve', 'Organic Ingredients', 'Vegan'], ['Frozen Herbs'], ['Herbs & Functional Foods'], ['Dry Seasoning Mixes & Blends', 'Herbs & Spices', 'Pepper', 'Salt', 'Wet Seasoning Mixes & Blends']]
215	Be Amazing	Booth: N2143	['TN', 'United States']	N/A	N/A	[]	[]
216	Be Care Love	Booth: 2804	['Costa Mesa,', 'CA', 'United States']	N/A	N/A	[]	[]
217	BeanStalk Brands	Booth: 3999C	['Jericho,', 'NY', 'United States']	N/A	N/A	[]	[]
218	BeanVIVO®	Booth: N645	['San Diego,', 'CA', 'United States']	N/A	N/A	['Special Attributes', 'Condiments & Sauces', 'Snacks', 'Soups & Canned Goods']	[['Ethnic/Multicultural', 'Gluten/Wheat Free', 'Kosher/Parve', 'Organic Processed/Packaged', 'Specialty/Gourmet', 'Vegan'], ['Salad Toppings'], ['Nuts & Seeds', 'Other Snacks'], ['Canned & Prepared Beans']]
219	Bear Maple	Booth: 4936	['NYC,', 'NY', 'United States']	N/A	N/A	['Beverages']	[['Flavored & Enhanced Water', 'Fruit Flavored Drinks', 'Kombucha', 'Sparkling Water & Seltzer', 'Tea & Infusions', 'Water']]
220	Bearded Brothers	Booth: N217	['Austin,', 'TX', 'United States']	Here is what you get from Bearded Brothers® organic food bars: CLEAN, SIMPLE, ORGANIC, TRULY DELICIOUS. For us, quality means sourcing our certified organic ingredients direct from U.S. based family farms and producing our bars in-house so you can be sure you are eating the best quality you can find on the market. Whether braving the office,  the mountain, or the school bus stop, Bearded Brothers is the bar you can feel good about eating and sharing.	Brands: We make organic food bars at Bearded Brothers. We recognize the importance of fueling your body with “the good stuff,” so our focus is creating a bar with the cleanest organic ingredients while ensuring the taste is something worth enjoying.	['Special Attributes', 'Snacks']	[['Convenience', 'Dairy Free', 'Gluten/Wheat Free', 'Kosher/Parve', 'Organic Food & Bev', 'Organic Processed/Packaged', 'Specialty/Gourmet', 'Vegan', 'Full Line Organic', 'Special Diet'], ['Energy & Nutrition Bars']]
221	Bear's Fruit	Booth: 5677	['BROOKLYN,', 'NY', 'United States']	N/A	N/A	['Beverages']	[['Fruit Flavored Drinks', 'Kombucha', 'Sparkling Water & Seltzer', 'Tea & Infusions', 'Water']]
222	Beautywww Inc.	Booth: 2648	['Concord,', 'ON', 'Canada']	N/A	N/A	[]	[]
223	Bedemco, Inc.	Booth: 5031	['White Plains,', 'NY', 'United States']	Bedemco Inc. is a direct importer and wholesale supplier of all food ingredients. We are proud to be naturally gluten free, non-GMO, USDA Certified Organic and Certified Kosher.	N/A	['Bakery', 'Special Attributes']	[['Bagels'], ['Organic Ingredients']]
224	Bee Harmony Honey	Booth: N1818, N1820	['Hillsboro,', 'KS', 'United States']	We love bees and all they do for us. They pollinate nearly 1/3 of our food. They bring sweetness to our lives. But bees face serious threats and need our help. Beesponsible is a promise to embrace the deep connection we share and take personal responsibility to pitch in. We advocate for bee-friendly practices among beekeepers, gardeners and everyday people. With our collective Beesponsible efforts, we can make real change and create a healthier environment for bees and humans.	Brands: Bee Harmony Honey is a premium raw honey with natural pollen and enzymes. We make it the way nature intended, with well-loved, well-tended bees drawing nectar from wildflowers across superior forage lands. It’s The Beesponsible Honey.	[]	[]
225	BEE&YOU	Booth: N1009	['North Bergen,', 'NJ', 'United States']	BEE&YOU is an awarded bee products company offering 100% natural propolis, royal jelly, raw honey, pollen, supplements and cosmetics. We source all our ingredients directly from hives located in pristine highlands and meadows and preserve their nutritional values with our innovative methods. All our products are 100% natural, non-GMO and free of gluten, dairy, soy, chemicals, preservatives and have been awarded 30 times in US and EU.  	Brands: Bee&You Propolis 

	['Raw Ingredients', 'Special Attributes', 'Cosmetics Personal Care', 'Supplements', 'Vitamins & Minerals']	[['Other'], ['Functional Food', 'Kosher/Parve', 'Allergy Free', 'Anti-Aging', 'Cruelty-Free', 'Dairy Free', 'Dietetic', 'Ethnic', 'Full Line', 'Gluten/Wheat Free', 'Kids', 'Low Carb', 'Organic Ingredients', 'Salt-Free', 'Special Diet', 'Specialty/Gourmet', 'Sustainability', 'Trans Fat Free', 'Vegan'], ['Baby Care', 'Bath & Body', 'Deodorant & Anti-Perspirant', 'Facial Care', 'Foot Care', 'Hair Care', "Men's Personal Care & Grooming", 'OTCs'], ['Antioxidants', 'Collagen', 'Fitness & Weight Management', 'Hair, Skin & Nail Supplements', 'Probiotics & Digestion', 'Superfood & Greens Blends'], ['Multivitamins', 'Vitamins']]
226	Beekeeper Coffee	Booth: N236	['Southfield,', 'MI', 'United States']	N/A	N/A	['Beverages']	[['Coffee']]
227	Beekeeper's Naturals Inc.	Booth: N2102	['Covina,', 'CA', 'United States']	N/A	N/A	['Herbs & Functional Foods', 'Supplements']	[['Herbs & Functional Foods'], ['Probiotics & Digestion', 'Superfood & Greens Blends']]
228	Beetanicals	Booth: N713	['Bedford Hts.,', 'OH', 'United States']	N/A	N/A	[]	[]
229	Before the Butcher	Booth: 5511	['San Diego,', 'CA', 'United States']	N/A	Brands: UNCUT plant protein	['Meat Alternatives', 'Special Attributes']	[['Plant-based Deli Meats', 'Plant-based Meat', 'Plant-based Poultry', 'Plant-based Sausage'], ['Dairy Free', 'Egg Free', 'Food Service Ready', 'Gluten/Wheat Free', 'Kosher/Parve', 'Soy Foods', 'Trans Fat Free', 'Vegan']]
230	Begin Health	Booth: 8317	['San Francisco,', 'CA', 'United States']	N/A	N/A	[]	[]
231	BeGOAT Clean Energy	Booth: 227	['Bend,', 'OR', 'United States']	N/A	N/A	[]	[]
232	Beleaf	Booth: 894	['City of Industry,', 'CA', 'United States']	N/A	N/A	['Special Attributes']	[['Cruelty-Free', 'Dairy Free', 'Egg Free', 'Food Service Ready', 'Soy Foods', 'Specialty/Gourmet', 'Vegan']]
233	Belgian Boys	Booth: 5164	['Brooklyn,', 'NY', 'United States']	Belgian Boys is a women-led company sparking moments of joy in people’s lives with delicious European-inspired foods. Quick-and-easy breakfasts allow busy families to start their day with happiness baked into every bite—and always in whimsical, colorful packaging and without GMOs, artificial flavors or preservatives.  For more information, visit www.belgianboys.com.	Brands: Belgian Boys	['Bakery', 'Breakfast', 'Special Attributes']	[['Cakes', 'Waffles'], ['Pancake, Crepes & Waffle Mix', 'Toaster Pastries'], ['Dairy Free', 'Kosher/Parve', 'Specialty/Gourmet', 'Trans Fat Free']]
234	Bell Flavors & Fragrances, Inc.	Booth: 2194	['Northbrook,', 'IL', 'United States']	N/A	N/A	['Adult Beverages', 'Bakery', 'Baking & Cooking Ingredients', 'Beverages', 'Breakfast', 'Candy', 'Condiments & Sauces', 'Cosmetics Personal Care', 'Dairy & Eggs', 'Dairy Alternatives', 'Frozen', 'Herbs & Functional Foods', 'Juice', 'Meat & Seafood', 'Meat Alternatives', 'Pasta Sauce & Noodles', 'Pet', 'Raw Ingredients', 'Seasonings & Spices', 'Snacks', 'Soups & Canned Goods', 'Vitamins & Minerals']	[['Beer', 'Cocktail Mixes', 'Hard Cider', 'Hard Iced Tea', 'Hard Kombucha', 'Hard Seltzer', 'Liquor & Spirits', 'Non-Alcoholic Beer', 'Non-Alcoholic Cider', 'Non-Alcoholic Cocktails', 'Non-Alcoholic Liquor & Spirits', 'Non-Alcoholic Sparkling Beverages', 'Non-Alcoholic Wine', 'Pre-mixed Alcoholic Drinks', 'Syrups & Bitters', 'Wine'], ['Bagels', 'Bread', 'Buns', 'Cakes', 'Cookies', 'Cream Puffs & Eclairs', 'Cupcakes', 'Dessert Bars', 'Donuts', 'Flatbread', 'Fudge', 'Ice Cream Cones', 'Melba Toast & Hard Breadsticks', 'Muffins', 'Pastries & Scones', 'Pie Crusts & Pastry Sheets', 'Pies & Tarts', 'Pizza Crusts', 'Rolls', 'Taco Shells & Tostadas', 'Tortillas & Wraps', 'Waffles'], ['Dough & Pie Crusts', 'Honey & Syrups', 'Marshmallow', 'Sugar', 'Sugar Substitutes & Sweeteners'], ['Cocoa & Hot Chocolate Mixes', 'Coffee', 'Drink Mixers & Syrups', 'Flavored & Enhanced Water', 'Fruit Flavored Drinks', 'Kombucha', 'Meal & Breakfast Drinks', 'Powdered Drink Mixes', 'Protein Shakes (ready-to-drink)', 'Smoothies', 'Soda', 'Sparkling Water & Seltzer', 'Sports & Energy Drinks', 'Tea & Infusions', 'Vinegar Drinks', 'Water'], ['Bran & Wheat Germ', 'Breakfast Bars', 'Breakfast Biscuits', 'Cereal', 'Granola', 'Hot Cereal & Oats', 'Muesli', 'Pancake, Crepes & Waffle Mix', 'Puffed Grain Cereal', 'Toaster Pastries'], ['Candied & Chocolate Covered Snacks', 'chocolate bars & candy'], ['Condiments & Sauces', 'Croutons', 'Fermented Goods', 'Hot Sauces', 'Jams & Fruit Spreads', 'Marinades & Sauces', 'Mayonnaise', 'Mustard', 'Salad Dressings', 'Salad Toppings', 'Seed & Nut Butters', 'Shelf Stable Dips & Spreads', 'Shelf Stable Salsas'], ['Baby Care', 'Bath & Body', 'Deodorant & Anti-Perspirant', 'Facial Care', 'Feminine & Sexual Care', 'Foot Care', 'Hair Care', 'Hair Removal & Shaving', 'Home Spa & Massage', "Men's Personal Care & Grooming"], ['Butter', 'Cheese', 'Condensed Milk', 'Cottage Cheese', 'Cream', 'Eggnog', 'Eggs', 'Kefir & Drinkable Yogurt', 'Milk', 'Ricotta & Fondue Cheese', 'Yogurt'], ['Cottage Cheese', 'Cream', 'Egg Substitutes', 'Margarines & Butter Substitutes', 'Milk', 'Plant-based Cheese', 'Plant-based Kefir & Drinkable Yogurt', 'Plant-based Yogurt', 'Ricotta & Fondue Cheese'], ['Frozen Appetizers & Side Dishes', 'Frozen Breads & Dough', 'Frozen Breakfast', 'Frozen Burritos & Breakfast Sandwiches', 'Frozen Desserts', 'Frozen Entrées', 'Frozen Fruits', 'Frozen Herbs', 'Frozen Juice', 'Frozen Meals', 'Frozen Non-Dairy Desserts', 'Frozen Pasta & Noodles', 'Frozen Pizza', 'Frozen Vegetables', 'Ice & Ice Pops', 'Ice Cream'], ['Herbs & Functional Foods'], ['Fruit Juice', 'Fruit Punch', 'Juice Blends', 'Lemonade & Lemon Juice', 'Limeade & Lime Juice', 'Nectars', 'Vegetable Juice'], ['Bacon', 'Deli Meats', 'Fish & Seafood', 'Hot Dogs', 'Poultry', 'Sausage'], ['Hot Dogs', 'Plant-based Bacon', 'Plant-based Deli Meats', 'Plant-based Fish & Seafood', 'Plant-based Meat', 'Plant-based Poultry', 'Plant-based Sausage', 'Tempeh', 'Tofu'], ['Instant Noodles', 'Pasta Sauce', 'Pasta Sauce Mixes'], ['Pet Food - Cat', 'Pet Food - Dog'], ['**flavors'], ['Dry Seasoning Mixes & Blends', 'Wet Seasoning Mixes & Blends'], ['Caramels & Toffee', 'Cereal & Granola Bars', 'Chips', 'Crackers', 'Energy & Nutrition Bars', 'Fruit Snacks', 'Jerky', 'Nuts & Seeds', 'Other Snacks', 'Popcorn & Puffs', 'Pork Rinds', 'Pretzels', 'Pudding, Mousse & Gelatin Snacks', 'Rice Cakes', 'Snack Cakes', 'Trail Mix & Snack Mixes', 'Vegetable Snacks'], ['Bouillon', 'Broth & Stocks', 'Canned & Jarred Vegetables', 'Canned & Prepared Beans', 'Canned Fruit & Applesauce', 'Canned Meals', 'Canned Meat', 'Canned Seafood', 'Canned Soups', 'Condensed Soup', 'Ramen & Noodle Cups', 'Soup Mixes'], ["Children's Vitamins", 'Multivitamins']]
235	BELLE AIRE CREATIONS	Booth: 3215	['MUNDELEIN,', 'IL', 'United States']	N/A	N/A	[]	[]
236	Bellei Lugi e Figli SRL	Booth: 5482	['MO,', 'Modena', 'Italy']	N/A	Brands: Acetaia Bellei - Sua Maestà - Glassy	['Condiments & Sauces']	[['Salad Dressings']]
237	BelliWelli	Booth: 3798A	['ladera ranch,', 'CA', 'United States']	N/A	N/A	[]	[]
238	Bellwether Farms	Booth: 594, F107	['Petaluma,', 'CA', 'United States']	A family farm and creamery, specializing in cheese and yogurt, located in Sonoma County.  In addition to our amazing full fat sheep milk yogurt we are introducing a new organic cow's milk yogurt.  Visit us at booth #4919 for a taste!	Brands: Bellwether Farms Sheep Milk Yogurt,
Bellwether Farms Organic Cow Milk Yogurt - NEW 
Bellwether Farms Creme Fraiche, 
Bellwether Farms Fresh Sheep Logs
Bellwether Farms Sheep & Cow Milk Cheeses
Bellwether Farms Whole Milk Ricotta	['Special Attributes']	[['Organic Dairy']]
239	Belmoca NV	Booth: 8804	['Londerzeel,', 'Belgium']	N/A	N/A	[]	[]
240	Belvas Belgian Chocolate	Booth: N1525	['Ghislenghien,', 'Belgium']	N/A	N/A	['Special Attributes']	[['Dairy Free', 'Gluten/Wheat Free', 'Kosher/Parve', 'Vegan']]
241	Belvoir Farm Drinks Ltd	Booth: 5246	['LEICESTERSHIRE,', 'Leicestershire', 'United Kingdom']	N/A	N/A	[]	[]
242	BENEO	Booth: N1712, F35	['Parsippany,', 'NJ', 'United States']	BENEO offers a range of functional ingredients with health and technical benefits derived from plants- including natural products made from chicory root, sugar beet, rice, faba bean, and wheat. By “connecting nutrition and health”, BENEO ingredients offer food manufacturers routes to develop great-tasting products that are nutritionally optimized, providing solutions for sugar reduction, fiber enrichment, digestive health, fat reduction, protein enrichment and more!   	N/A	['Raw Ingredients', 'Special Attributes']	[['Proteins/Amino Acids', 'Starch & Dextrin'], ['Functional Food', 'Gluten/Wheat Free', 'Organic Ingredients']]
243	Berdez’s foods	Booth: N1829	['Bogota,', 'Colombia']	N/A	N/A	[]	[]
244	Berlin Packaging	Booth: 2729	['Chicago,', 'IL', 'United States']	Berlin Packaging is North America’s premier Hybrid Packaging Supplier® of plastic, glass, and metal containers and closures. We supply billions of items annually along with package design, financing, consulting, warehousing, and logistics services for customers across all industries. Berlin Packaging brings together the best of manufacturing, distribution, and value-added service providers.	N/A	['Packaging', 'Services']	[['Glass Bottles', 'Plastic Bottles', 'Printing/Soy Inks', 'Packaging Material'], ['Consulting', 'Contract Manufacturing']]
245	Bernard & Sons Maple Products	Booth: 1632	['St Victor,', 'QC', 'Canada']	Proud processor of premium quality healthy syrups, all our products are made with natural or certified organic ingredients. They do not contain gluten, high fructose corn syrup, preservatives, gums, artificial flavours or artificial colors. Our main products are Pure Maple Syrup (conventional and organic), Table Syrup (conventional and organic), and Flavored Syrups. All are available in retail sizes and bulk packaging.	Brands: Bernard, Old Fashioned Maple Crest	['Special Attributes']	[['Organic Food & Bev', 'Organic Ingredients']]
246	Berry Global	Booth: 2497	['Evansville,', 'IN', 'United States']	Berry Global is a Fortune 500 global manufacturer and marketer of plastic packaging products. We will be featuring a range of fully-recyclable rigid containers for food packaging, as well as bottles, jars, tubes, and closures for food and other consumer products.  Want to disrupt the shelf with a brand new look? Consider creating a custom package for your product with Blue Clover Studios, our in-house industrial design center. Please visit our booth or contact us for more information!	N/A	['Packaging']	[['Plastic Bottles', 'Plastic Products', 'Printing/Soy Inks', 'Recycled Products']]
247	BERRY NUTS	Booth: N632	['south padre island,', 'TX', 'United States']	N/A	N/A	[]	[]
248	Bertoli Homogenizers North America	Booth: 347	['Mendota Heights,', 'MN', 'United States']	For over 40 years Bertoli Homogenizers has been a  technological leader in the field of homogenizers and Plunger pumps. Bertoli Homogenizers can be used in a wide variety of products, from food and dairy, to pharmaceuticals to cosmetics, require a finished product in which fats or oils will not separate from other elements. Homogenizing produces that perfectly stable end product.	N/A	['Baby Food', 'Condiments & Sauces', 'Cosmetics Personal Care', 'Dairy & Eggs']	[['Baby Food Shelf'], ['Condiments & Sauces', 'Salad Dressings'], ['Baby Care'], ['Milk']]
249	Best Day Brewing	Booth: 4916	['Pacific Palisades,', 'CA', 'United States']	N/A	N/A	['Adult Beverages']	[['Non-Alcoholic Beer']]
250	Best in the West Brands	Booth: 3099B	['Deming,', 'NM', 'United States']	N/A	N/A	[]	[]
251	Better Balance	Booth: 2996	['Plano,', 'TX', 'United States']	N/A	N/A	['Dairy Alternatives', 'Meat Alternatives']	[['Cream', 'Plant-based Cheese'], ['Hot Dogs', 'Plant-based Meat', 'Plant-based Sausage']]
252	Better Being Co. Wellness Brands	Booth: 2840	['Salt Lake City,', 'UT', 'United States']	Nutraceutical, one of the largest manufacturers of nutritional supplements, has led the industry in innovation, quality products, and service to retailers and consumers since 1932.	Brands: Nutraceutical Family of brands: Solaray, KAL, NaturalMax, Nature’sLife, VegLife, Natural Sport, Sunny Green, Natural Balance, ActiPet, Action Labs, FunFresh Foods, STS, and Thompson.	[]	[]
253	Better Booch	Booth: N718	['Los Angeles,Â', 'CA', 'United States']	N/A	N/A	['Special Attributes']	[['Dairy Free', 'Full Line Organic', 'Functional Beverage', 'Gluten/Wheat Free', 'Kosher/Parve', 'Low Carb', 'Organic Food & Bev', 'Specialty/Gourmet']]
254	Better Earth, LLC	Booth: 2930	['Atlanta,', 'GA', 'United States']	Better Earth is a leader in sustainable, commercially compostable products, including plates, bowls, trays, containers, cutlery, cups, and lids. Our products are a viable alternative to traditional plastics and virgin wood fiber packaging. Better Earth’s products meet ASTM and EN standards for compostability. We help customers meet their sustainability goals and strengthening the circular economy by leading sustainability initiatives across the value chain. Learn more at becompostable.com.	Brands: Better Earth, Farmer's Fiber, Better Bowls, Better Boxes.	['Packaging', 'Special Attributes']	[['Biodegradable Packaging', 'Other', 'Packaging Material', 'Paper Products'], ['Food Service Ready']]
255	Better Foods	Booth: N1638	['Sacramento,', 'CA', 'United States']	N/A	N/A	['Special Attributes', 'Meat Alternatives']	[['Vegan'], ['Hot Dogs', 'Plant-based Deli Meats', 'Plant-based Meat', 'Plant-based Poultry', 'Plant-based Sausage']]
256	Better For You Corporation	Booth: 1684	['Taipei City,', 'Taiwan']	N/A	N/A	[]	[]
257	Better Life Foods Inc	Booth: 1894	['city of industry,', 'CA', 'United States']	N/A	N/A	[]	[]
258	Better Sour	Booth: 5181	['AUSTIN,Â', 'TX', 'United States']	Our name says it all: we love sour. We live for that flavorful, mouthwatering tang. Thatâ€™s why weâ€™ve created these sour gummy candies inspired by our heritage and flavors from the Middle East & Asia-Pacific. Based in Austin, TX, and founded by Iranian-American best friends who grew up in Hawaii, weâ€™re here to unleash sour power! Better Sour's 100% plant-based with only 60 calories/3g sugar per bag and is proudly woman-owned.	N/A	['Special Attributes']	[['Dairy Free', 'Ethnic/Multicultural', 'Low Carb', 'Vegan']]
259	Better With Buckwheat/Maine Crisp	Booth: 5284	['Winslow,', 'ME', 'United States']	N/A	N/A	['Snacks']	[['Crackers']]
260	BetterBody Foods	Booth: 571	['Lindon,', 'UT', 'United States']	At BetterBody Foods, we believe making better food choices contributes to a happy and healthy life. We are committed to providing the best organic and natural foods for cooking, baking, health and wellness. We source the highest quality of foods from our Organic, Gluten-Free and Non-GMO certified facility. Our goal is to teach our customers about how to use these revolutionary products to make powerful and healthy changes in their lives. We want to help you live life to the fullest.	Brands: BetterBody Foods, PBfit, Oatsome, Plant Junkie	['Special Attributes']	[['Functional Food', 'Kosher/Parve', 'Organic Processed/Packaged', 'Packaged Grains/Cereal', 'Vegan']]
261	bettermoo(d)	Booth: N1034	['Vancouver,', 'BC', 'Canada']	N/A	N/A	[]	[]
262	Betty Buzz LLC	Booth: 8606	['NY,', 'NY', 'United States']	Whether you decide to mix or fly solo, these non-alcoholic sparkling mixers were crafted for choice.	Brands: Betty Buzz	[]	[]
263	Beyond Good	Booth: 1563	['Brooklyn,', 'NY', 'United States']	N/A	N/A	[]	[]
264	Beyond Meat	Booth: 4487	['El Segundo,', 'CA', 'United States']	Beyond Meat® is a plant-based meat company on a mission to build products that are better for human health and the planet, no sacrifice required. Made using simple, plant-based ingredients without GMOs, soy or gluten, Beyond Meat’s innovative portfolio includes the Beyond Burger®, Beyond Sausage®, Beyond Beef® and Beyond Breakfast Sausage™. Our products offer greater or equal protein levels than their animal counterparts, no cholesterol, less saturated fat, and no antibiotics or hormones.	Brands: Beyond Burger®
Beyond Beef®
Beyond Sausage®
Beyond Breakfast Sausage™
Beyond Beef® Crumbles	['Special Attributes']	[['Dairy Free', 'Egg Free', 'Food Service Ready', 'Gluten/Wheat Free', 'Kosher/Parve', 'Trans Fat Free', 'Vegan']]
265	Beyond the Shell Nuts with T.M. Duche Nut Co.	Booth: N1040	['North Miami Beach,', 'FL', 'United States']	N/A	N/A	['Raw Ingredients', 'Snacks', 'Special Attributes']	[['Fruits & Vegetables', 'Omega-3'], ['Dried Fruit', 'Nuts & Seeds', 'Trail Mix & Snack Mixes'], ['Gluten/Wheat Free', 'Kosher/Parve', 'Vegan']]
266	BEZI	Booth: N1349	['Kirklareli,', 'Türkiye']	N/A	N/A	[]	[]
267	BFree Foods	Booth: 383	['Libertyville,', 'IL', 'United States']	BFree Foods, bringing excitement, health, & taste to gluten free bakery. Having just celebrated our 10th Anniversary, we are committed  to bringing gluten, wheat and dairy-free bakery products to gluten avoidant consumers all around the globe that not only taste great but also do good. We challenge the norm, the process, the ingredients and make the most of our innovative better-for-you products by replacing 'less' with 'more'- more nutritious ingredients, more choice and more taste.  	N/A	['Bakery', 'Special Attributes']	[['Bagels'], ['Allergy Free', 'Dairy Free', 'Egg Free', 'Food Service Ready', 'Gluten/Wheat Free', 'Kosher/Parve', 'Low Carb', 'Vegan']]
268	BHANU IMPEX LLC	Booth: 8915	['Pleasanton,', 'CA', 'United States']	N/A	N/A	[]	[]
269	Bhuja Snacks	Booth: N1825	['Kennesaw,', 'GA', 'United States']	N/A	Brands: Bhuja Snacks:  Item range includes Original Mix, Cracker Mix, Nut Mix, Crunchy Seasoned Peas and Beer Mix	['Special Attributes']	[['Gluten/Wheat Free', 'Specialty/Gourmet', 'Trans Fat Free', 'Vegan']]
