0	(re)zip	Booth: N2046	['Austin,', 'TX', 'United States']	Rezip Co. designs thoughtful products to help  consumers live a simpler, greener lifestyle. (re)zip® Reusable Storage Bags are the original  food-safe, lightweight, leakproof, freezer-safe  reusable bags. They are designed to simplify  food storage, and make it easy  for consumers to consciously reduce single-use  plastic baggies. (re)zip Reusable Storage Bags  are available in an assortment of sizes and styles  to accommodate a variety of uses including food  prep, pantry storage, organization, and more	Brands: Rezip	['Home', 'Pet', 'Special Attributes']	[['Household Supplies', 'Kitchen & Dining', 'Miscellaneous'], ['Pet Food - Cat', 'Pet Food - Dog'], ['Sustainability']]
427	CB's Nuts Inc.	Booth: F108	['Kingston,', 'WA', 'United States']	CB's Nuts does for Peanuts, Peanut Butter and Pumpkin Seeds what a great coffee roaster does for coffee. We bring out the depth of flavor inherent in our products. You will find our products second to none.	Brands: CB's Nuts CB's Seeds	['Special Attributes', 'Fresh Fruit & Vegetables']	[['Organic Food & Bev', 'Organic Processed/Packaged', 'Specialty/Gourmet'], ['USDA Vegetable']]
428	CCOF	Booth: 2314	['Santa Cruz,', 'CA', 'United States']	CCOF is a nonprofit organization governed by the people who grow and make our food; we advance organic agriculture for a healthy world. We are supported by an organic family of farmers, ranchers, processors, retailers, consumers, and policymakers. We work to realize a future where organic is the norm.	N/A	['Services']	[['Certification Services', 'Education', 'Internet Services']]
429	CCPIT	Booth: 1618	['Beijing,', 'China']	N/A	N/A	[]	[]
430	CCPIT	Booth: 1917	['Beijing,', 'China']	N/A	N/A	[]	[]
431	CCPIT	Booth: 1919	['Beijing,', 'China']	N/A	N/A	[]	[]
432	CCPIT	Booth: 2201	['Beijing,', 'China']	N/A	N/A	[]	[]
433	CCPIT	Booth: 2202	['Beijing,', 'China']	N/A	N/A	[]	[]
434	CCPIT	Booth: 3169	['Beijing,', 'China']	N/A	N/A	[]	[]
435	CCPIT	Booth: 3312	['Beijing,', 'China']	N/A	N/A	[]	[]
436	CCPIT	Booth: 3314	['Beijing,', 'China']	N/A	N/A	[]	[]
437	CCPIT	Booth: 3316	['Beijing,', 'China']	N/A	N/A	[]	[]
438	CCPIT	Booth: 3506	['Beijing,', 'China']	N/A	N/A	[]	[]
439	CCPIT	Booth: 3508	['Beijing,', 'China']	N/A	N/A	[]	[]
440	CCPIT	Booth: 3516	['Beijing,', 'China']	N/A	N/A	[]	[]
441	CCPIT	Booth: 3652	['Beijing,', 'China']	N/A	N/A	[]	[]
442	CCPIT	Booth: 3662	['Beijing,', 'China']	N/A	N/A	[]	[]
443	CCPIT	Booth: 3717, 3622, 3624, 3720, 3766, 3822, 3971, 4000, 4083, 4183, 4316, 4442, 4443, 4458, 4459, 4545	['Beijing,', 'China']	N/A	N/A	[]	[]
444	CCPIT	Booth: 4569	['Beijing,', 'China']	N/A	N/A	[]	[]
445	CCPIT	Booth: 2150	['Beijing,', 'China']	N/A	N/A	[]	[]
446	CDA USA, Inc.	Booth: 2604, 3342	['Henrico,', 'VA', 'United States']	N/A	N/A	['Packaging']	[['Other']]
447	Cedar's	Booth: 414	['Ward Hill,', 'MA', 'United States']	Manufacture/Distributor of refrigerated Mediterranean products including Hommus, Salads, Tzatziki, Greek Yogurt Dips, Grab & Go Snack Packs, Salsas. Organic items available. Non GMO Project Verified, Gluten Free Certified, Vegan Certified.	Brands: Cedar's Mediterranean Foods, Inc.	['Special Attributes']	[['Dairy Free', 'Ethnic', 'Food Service Ready', 'Gluten/Wheat Free', 'Kosher/Parve', 'Organic Food & Bev', 'Specialty/Gourmet', 'Vegan']]
448	Celebes Coconut Corporation	Booth: 1501	['Butuan,', 'Philippines']	Manufacturer of organic desiccated coconut, virgin coconut oil, coconut milk, coconut water, creamed coconut, coconut concentrate,  RBD coconut oil, coconut flour, coconut water concentrate, coconut chips, and banana chips,	Brands: Celebes and Private Label	['Special Attributes']	[['Canned', 'Organic Food & Bev', 'Organic Ingredients']]
449	Celex Laboratories, Inc.	Booth: 4202	['Richmond,', 'BC', 'Canada']	N/A	N/A	[]	[]
450	Celt Salt by Nature's Pantry	Booth: 8520	['Downey,', 'CA', 'United States']	N/A	N/A	[]	[]
451	Center For Food Safety, The	Booth: F47	['Washington,', 'DC', 'United States']	N/A	N/A	[]	[]
452	Cento Fine Foods	Booth: 5724	['West Deptford,', 'NJ', 'United States']	Cento Fine Foods is fully committed to providing consistent, premium Italian products for the best consumer value. It is our mission to proactively serve and satisfy our customers by providing exceptional products, improving the cost effectiveness and quality of our products and services with our team of committed employees who maintain a quality and service-oriented attitude.	Brands: Cento, Bellino, Anna, Maurizio, Little Gina, Ferrara,  La Florentine & La Bella Valentina	['Soups & Canned Goods', 'Special Attributes']	[['Canned & Prepared Beans', 'Canned Seafood', 'Canned Soups', 'Canned & Jarred Vegetables'], ['Full Line', 'Specialty/Gourmet']]
453	Century Systems	Booth: 3140	['Atlanta,', 'GA', 'United States']	N/A	Brands: MIRACLE 2000 LIQUID MULTI THE CLEANER DETOX SYSTEM VITAROL MEN & WOMEN FORMULA HEART MIRACLE CAPSULES HEART MIRACLE 32oz 7-WONDERS LOTION 7-WONDERS OIL []	[]
454	Cepham Inc.	Booth: 3371	['Somerset,', 'NJ', 'United States']	N/A	N/A	[]	[]
455	Cerebelly, Inc.	Booth: N2045	['Los Gatos,', 'CA', 'United States']	N/A	N/A	['Baby Food']	[['Baby Food Shelf']]
456	CERMER	Booth: 2185	['Vila-real,', 'Spain']	CERMER Ceramic Food Packaging is a differentiating, qualitative and 100% reusable packaging solution. After three decades of innovation we have reached and extraordinary respect and passion for ceramics and nature. We offer a genuinely natural, inert and long-lasting product helping to reduce the generation of waste. Our ceramic ware is designed and manufactured to serve 3 purposes. First packaging, then they become your everyday tableware and kitchenware to prepare delicious home-made recipes!	Brands: Cermer: Ceramic Food Packaging	['Packaging']	[['Other', 'Packaging Material', 'Recycled Products', 'Reusable Bags']]
457	Certified Laboratories	Booth: 2931	['Melville,', 'NY', 'United States']	Certified Laboratories, a Certified Group Company, are the preferred laboratories for the Dietary Supplement, NHP, OTC, Personal Care, and Food & Beverage industries. We provide technical expertise, rapid turnaround time, and industry-leading client services in microbiology, chemistry, and stability/compatibility testing. Our quality systems and breadth of analytical methods meet the highest federal regulatory standards ensuring that our customers deliver high quality products to consumers.	Brands: Certified Laboratories, Food Safety Net Services (FSNS), EAS Consulting Group, Labstat International Inc.	['Dairy & Eggs', 'Meat & Seafood', 'Raw Ingredients', 'Services']	[['Cheese'], ['Poultry'], ['Vitamins'], ['Analytical Laboratories', 'Consulting']]
458	Ceylon Plant Food (Pvt) Ltd	Booth: 1727	['Lihiriyagama,', 'Sri Lanka']	CEYPLA works with the farming community to get the best raw materials for processing in our facility. Our industry experts with few decades of experience is well focused on producing the best finished goods in the form of Dried Fruits, Fruits in cans, Coconut Milk , coconut oil, Desiccated coconut , Diced Fruits, Young Jak Fruits. Tropical Spices of very quality in various pack sizes. We carry extensive certification . Our main aim is to sustain a happy work force, famers and  global customers.	Brands: CEYPLA	['Juice', 'Seasonings & Spices', 'Snacks', 'Soups & Canned Goods']	[['Fruit Juice'], ['Herbs & Spices', 'Pepper'], ['Dried Fruit'], ['Canned Fruit & Applesauce']]
459	CForce Bottling Company	Booth: 5153	['Navasota,', 'TX', 'United States']	N/A	N/A	['Beverages']	[['Water']]
460	Chai Diaries	Booth: N1912	['Commerce,', 'CA', 'United States']	 Chai Diaries is a sustainable, chic brand of delicious premium teas founded by Ami Bhansali whose family has spent over 100 years harvesting tea on their plantation in the Nilgiris of India. Driven by a desire to share the joy of premium, organic teas, Chai Diaries produces healthy lifestyle products with a functional edge. Chai Diaries teas are currently available in retail outlets such as Gelsons' Markets, H-E-B, Central Market, Bed, Bath & Beyond. KeHe is a distributor partner. E-Comm: www.mychaidiaries.com 	Brands: Chai Diaries Tall Black Tins (loose leaf); Chai Diaries Little Black Tins (pyramid teabags); Chai Diaries Insta-Chais (premix); Chai Diaries Yoga & Gift Boxes (	['Special Attributes', 'Beverages']	[['Food Service Ready', 'Gluten/Wheat Free', 'Kosher/Parve', 'Organic Processed/Packaged', 'Specialty/Gourmet'], ['Tea & Infusions']]
461	Changzhou Biochem Technologies Co.,Ltd.	Booth: 3654	['Changzhou,', 'Jiangsu', 'China']	N/A	N/A	['Supplements', 'Vitamins & Minerals']	[['Amino Acids'], ['Minerals']]
462	CharcutNuvo	Booth: 5451, F81	['Denver,', 'CO', 'United States']	CharcutNuvo produces Organic sausage sourced exclusively from the USA. Come taste the difference.  Grass-fed beef, pork, & chicken. From breakfast links to beer bratwurst to wild game, we have it all. In business for 50 years & led by a 4th generation sausage maker, we provide Healthy Indulgence. We never use sugar & use 30 -50% less salt than our competitors. We never use co-packers & manufacture ourselves in our own Denver, CO sausage factory.  Available through Tony's and Albert's this summer.	Brands: CharcutNuvo Organic, CharcutNuvo Natural, and CharcutNuvo Wild Game	['Special Attributes']	[['Allergy Free', 'Dairy Free', 'Food Service Ready', 'Full Line Organic', 'Organic Food & Bev', 'Organic Ingredients', 'Organic Processed/Packaged', 'Specialty/Gourmet']]
463	Charlotte's Web	Booth: 2423	['Louisville,', 'CO', 'United States']	N/A	N/A	['Supplements', 'Vitamins & Minerals']	[['Antioxidants', 'Fitness & Weight Management', 'Glucosamine & Joint Health', 'Melatonin & Sleep Aids'], ['Multivitamins', 'Vitamins']]
464	Charta Global, Inc.	Booth: 3056	['Orange,', 'CA', 'United States']	Charta Global Inc. is the exclusive U.S. & Latin American sales channel for the Asia Pulp & Paper (APP) Sinar Mas.  Charta provides printers, packaging converters, brands, paper merchants, wholesale distributors access to a single, integrated and comprehensive paper, packaging and tissue products portfolio; enabling them to deliver unique and cost competitive solutions to their customers. chartaglobal.com    	Brands: Foopak Bio Natura & Enza are PLASTIC-FREE, recyclable & compostable. The multi-certified paperboard can be used for hot/cold beverages, ready meals, soups, ice cream, cereals & more. foopak.com	['Packaging', 'Special Attributes']	[['Biodegradable Packaging', 'Packaging Material', 'Paper Products', 'Recycled Products'], ['Food Service Ready', 'Organic Processed/Packaged', 'Packaged Grains/Cereal']]
465	Cha's Organics	Booth: N317	['Saint-Laurent,', 'QC', 'Canada']	N/A	N/A	['Baking & Cooking Ingredients', 'Beverages', 'Condiments & Sauces', 'Dairy Alternatives', 'Dried Beans, Rice & Grains', 'Herbs & Functional Foods', 'Seasonings & Spices', 'Soups & Canned Goods', 'Special Attributes']	[['Canned & Powdered Milk', 'Cooking Oils & Shortening', 'Frosting, Icing, & Edible Decorations', 'Sugar'], ['Powdered Drink Mixes', 'Tea & Infusions'], ['Condiments & Sauces'], ['Milk'], ['Rice'], ['Herbs & Functional Foods'], ['Dry Seasoning Mixes & Blends', 'Herbs & Spices'], ['Canned & Jarred Vegetables', 'Canned Fruit & Applesauce'], ['Allergy Free', 'Canned', 'Convenience', 'Cruelty-Free', 'Dairy Free', 'Egg Free', 'Ethnic', 'Ethnic/Multicultural', 'Flavorings', 'Food Service Ready', 'Full Line', 'Full Line Organic', 'Functional Beverage', 'Functional Food', 'Gluten/Wheat Free', 'Kids', 'Kosher/Parve', 'Low Carb', 'Organic Food & Bev', 'Organic Ingredients', 'Organic Processed/Packaged', 'Packaged Grains/Cereal', 'Sustainability', 'Trans Fat Free', 'Vegan']]
466	CHASTE JE WAY INDUSTRIAL CO., LTD.	Booth: 999A	['Tainan,', 'Taiwan']	N/A	N/A	[]	[]
467	Chaucer Foods, Inc.	Booth: 3087	['Forest Grove,', 'OR', 'United States']	Chaucer Foods is the world’s leading supplier of freeze-dried fruit, vegetables and baked ingredients. Headquartered in the U.K., Chaucer works with global CPG food and beverage manufacturers to develop ingredient solutions for a wide range of applications including beverages, ready meals, infant, dairy, bakery, snacks, cereal and confectionery. It is also developing innovative applications in a range of new sectors such as sports nutrition, and produces its own highly-successful products which are sold in retail stores throughout the USA. Chaucer’s technical skills and creativity are backed by a worldwide manufacturing footprint and unrivaled power to source traceable, sustainable ingredients that meet rigorous high standards in quality and social and environmental responsibility.	Brands: Crunchies Natural Food	['Raw Ingredients', 'Special Attributes']	[['Fruits & Vegetables'], ['Food Service Ready', 'Functional Food']]
468	CheckCheck Ricewater	Booth: 3181	['Newport Beach,', 'CA', 'United States']	N/A	N/A	[]	[]
469	Cheers	Booth: 3201	['Houston,', 'TX', 'United States']	N/A	N/A	['Vitamins & Minerals']	[['Vitamins', 'Multivitamins']]
470	Cheesewich Factory	Booth: N1729	['Hodgkins,', 'IL', 'United States']	N/A	N/A	[]	[]
471	Chef Bobo – Friendly Grains, Ava Organics, Wowza	Booth: 391	['Dallas,', 'TX', 'United States']	N/A	N/A	['Special Attributes']	[['Allergy Free', 'Convenience', 'Gluten/Wheat Free', 'Kosher/Parve', 'Organic Food & Bev', 'Packaged Grains/Cereal', 'Vegan']]
472	Chef Hak's	Booth: 5633, 5435	['Los Angeles,', 'CA', 'United States']	Chef Hak’s is a chef curated organic food brand consisting of BBQ sauces, cooking sauces, salad dressings and prepared meals built on the foundation of integrity, transparency and mindfully sourced ingredients. What started as a dream of a home cook-turned celebrity chef, Sharone Hakman, has developed into a trusted company available in over 12,000 stores across the United States. We are proud to be at the cutting edge of unique flavor profiles, clean ingredients and amazing flavors.	N/A	['Condiments & Sauces', 'Special Attributes', 'Frozen', 'Meat & Seafood']	[['Condiments & Sauces', 'Salad Dressings'], ['Food Service Ready', 'Specialty/Gourmet'], ['Frozen Appetizers & Side Dishes', 'Frozen Entrées', 'Frozen Vegetables'], ['Poultry']]
473	Chefs Life	Booth: N1747	['San Diego,', 'CA', 'United States']	N/A	N/A	['Packaging', 'Special Attributes']	[['Glass Bottles'], ['Convenience', 'Exclusive Line', 'Full Line', 'Gluten/Wheat Free', 'Trans Fat Free', 'Vegan']]
474	Cherry Central	Booth: N1417	['Traverse City,', 'MI', 'United States']	Member-owned cooperative since 1973 representing hundreds of growers throughout the U.S.  Worlds largest Montmorency processer and industry leader in red tart cherries, apples and blueberries. fruitHaven functional beverages and dried fruit. Marketing fruit throughout the world Growing and processing facilities strategically located throughout North America with highest standards in quality and food safety.  	Brands: Retail – Brands of Indian Summer, Traverse Bay Fruit, fruitHaven and Tart is Smart ['Special Attributes', 'Juice', 'Snacks']	[['Functional Beverage', 'Organic Food & Bev', 'Organic Ingredients', 'Organic Processed/Packaged'], ['Fruit Juice', 'Juice Blends', 'Lemonade & Lemon Juice'], ['Dried Fruit', 'Trail Mix & Snack Mixes']]
475	Chew + Heal	Booth: 8908	['Brooklyn,', 'NY', 'United States']	N/A	N/A	[]	[]
476	Chia Smash	Booth: N306	['Brooklyn,', 'NY', 'United States']	Superfood Jams	N/A	[]	[]
477	Chicas	Booth: 1579	['City of Industry,', 'CA', 'United States']	N/A	Brands: Chicas Chips & Salsa, 4505 Meats	['Snacks']	[['Chips']]
478	ChiChi Foods	Booth: 8503	['St. Louis,', 'MO', 'United States']	N/A	N/A	[]	[]
479	Chickapea	Booth: N931	['Collingwood,', 'ON', 'Canada']	Chickapea offers healthy meals that are craveable, simple, and accessible.  Chickapea is: •	Made with whole, clean ingredients •	Packed with plant-based protein •	High in fiber •	Delivers 12+ nutrients from plants •	Gluten free •	Non-GMO •	Women owned •	Kosher	Brands: Chickapea Pasta	['Special Attributes']	[['Allergy Free', 'Dairy Free', 'Food Service Ready', 'Full Line Organic', 'Gluten/Wheat Free', 'Kosher/Parve', 'Organic Ingredients', 'Organic Processed/Packaged', 'Vegan']]
480	ChicoBag & To-Go Ware	Booth: 3008	['Chico,', 'CA', 'United States']	At ChicoBag and To-Go Ware, we offer reusable solutions to fight against single-use waste. Plastic pollution and marine debris are a serious and growing problem that is not going away without a global change in humanity's relationship with single-use plastics. So far, ChicoBag and To-Go Ware have helped millions significantly reduce their single-use consumption and have saved an estimated 18 BILLION single-use items from entering the waste stream.	Brands: ChicoBag rePETe To-Go Ware	['Packaging', 'Home']	[['Recycled Products', 'Reusable Bags'], ['Miscellaneous']]
481	Chief Marketplace Officer	Booth: 2894	['Tarzana,', 'CA', 'United States']	N/A	N/A	[]	[]
482	Chike Nutrition	Booth: N1231	['Abilene,', 'TX', 'United States']	Chike Nutrition, based in Abilene, Texas, vertically manufactures and distributes their Protein Iced Coffee. Each serving is packed with 20 grams of protein, 2 shots of real espresso (150mg caffeine), and only 1 gram of sugar. This ridiculously delicious coffee, known for its amazing flavor, is a healthier alternative to sugary, high calorie coffeehouse drinks. Chike makes the perfect breakfast, pre- or post-workout snack, or anytime pick-me-up, and is now available in an all-natural version!	N/A	['Beverages', 'Raw Ingredients', 'Special Attributes']	[['Coffee', 'Meal & Breakfast Drinks', 'Powdered Drink Mixes', 'Sports & Energy Drinks'], ['Proteins/Amino Acids'], ['Functional Beverage']]
483	Chikiriya Tea House	Booth: 8413	['Osaka,', 'Japan']	N/A	N/A	[]	[]
484	Childlife Essentials	Booth: 4163	['El Segundo,', 'CA', 'United States']	N/A	Brands: ChildLife Essentials	['Other Products & Services', 'Special Attributes']	[["Children's Miscellaneous"], ['Allergy Free', 'Dairy Free', 'Egg Free', 'Gluten/Wheat Free', 'Kosher/Parve', 'Organic Ingredients']]
485	Chimes	Booth: 3998	['Pomona,', 'CA', 'United States']	Chimes Gourmet / Roxy Trading, Inc.  Chimes Gourmet produces delightful organic and all-natural confections and snacks, featuring Chimes Ginger Chews & Toasted Coconut Toffee! We can't wait to meet you at booth #4968!    	Brands: Chimes Ginger Chews, Chimes Toasted Coconut Toffee []	[]
486	CHIN HUAY PUBLIC COMPANY LIMITED	Booth: 5270	['BANGKOK,', 'Thailand']	The premier manufacturer and pioneer in exporting canned food & Dried fruit from Thailand. With over 93 years history in the business, together with strict quality control of the Thai industrial Standards Institute (TIST)	Brands: CHIN HUAY EROS MEBLE	[]	[]
487	China Chamber of Commerce for Import & Export of Medicines & Health Products	Booth: 1723, 1606, 1704, 1736, 1805, 1807, 1837, 1863, 2016, 2041, 2051, 2057, 3415, 3417, 3442, 3474, 3476, 3523, 3526, 3527, 3543, 3586, 3621, 3642, 3650, 3658, 3663, 3723, 3726, 3743, 3762, 3823, 3826, 3900, 3901, 3933, 3987, 3989, 3996, 4050, 4071, 4086, 4170, 4171, 4189, 4309, 4343, 4345, 4357, 4371, 4376, 4381, 4427, 4456, 4550, 4552, 4575	['Beijing,', 'China']	N/A	N/A	[]	[]
488	Chino Valley Ranchers	Booth: 1491	['Colton,', 'CA', 'United States']	Chino Valley Ranchers produces organic, nutrient enhanced and cage free eggs. We offer a full line of packaging and delivery options.	Brands: Veg a Fed, Nutri Fresh Fertile, Humane Harvest, Chino Valley Ranchers Organic	['Other Products & Services', 'Packaging', 'Special Attributes']	[['Organic Livestock Feeds'], ['Printing/Soy Inks'], ['Ethnic', 'Kosher/Parve', 'Organic Dairy', 'Organic Food & Bev', 'Organic Ingredients', 'Specialty/Gourmet']]
489	Chinova Bioworks	Booth: 5669	['Fredericton,', 'NB', 'Canada']	Chinova Bioworks started with the mission of using nature to protect and reduce food waste. The company developed a natural fiber extract from the stems of white button mushrooms to make stable, broad-spectrum preservation ingredients that protect products from spoilage caused by yeast, mold, and harmful bacteria. Their main preservation ingredient, Chiber™ is natural, healthy, and integrates seamlessly into various foods and beverages during processing. It is also Kosher, Halal, and vegan.	Brands: Chiber™, a natural preservation ingredient taking freshness further.  MycoKleer™ is nature's fining agent	['Raw Ingredients', 'Special Attributes']	[['Branded Ingredients', 'Other'], ['Allergy Free', 'Dairy Free', 'Egg Free', 'Gluten/Wheat Free', 'Kosher/Parve', 'Organic Ingredients', 'Vegan']]
490	Chiwis	Booth: N2310	['Squamish,', 'BC', 'Canada']	N/A	N/A	[]	[]
491	Chloe's	Booth: 5485	['New York,', 'NY', 'United States']	Chloe’s answers the consumer desire for great taste and clean, simple ingredients. This year, Chloe's expands its core fruit pop line made from just fruit, water and cane sugar; its more decadent, dairy-free dark chocolate dipped pop line; and its kids pop line. Most exciting, Chloe's is announcing its deliciously creamy new line of Oatmilk Pops. All Chloe’s Pops are plant-based, dairy and gluten-free, Non-GMO Project Verified and kosher. Find Chloe’s in over 13,000 retailers nationwide.  	N/A	['Frozen', 'Special Attributes']	[['Frozen Desserts'], ['Allergy Free', 'Dairy Free', 'Food Service Ready', 'Gluten/Wheat Free', 'Kosher/Parve', 'Specialty/Gourmet', 'Vegan']]
492	Chlorophyll Water	Booth: N1033	['Brooklyn,', 'NY', 'United States']	N/A	N/A	[]	[]
493	Chobani	Booth: 770	['New York,', 'NY', 'United States']	In support of this mission, we are a values-driven, people-first, food-and-wellness-focused company, and have been since Hamdi Ulukaya, an immigrant to the U.S., founded the company in 2005. We produce yogurt, oatmilk, dairy and plant-based creamers, ready-to-drink coffee and plant-based probiotic drinks. Chobani yogurt is America's No.1 yogurt brand, and it's made with only natural ingredients without artificial preservatives.	N/A	['Dairy & Eggs']	[['Cream', 'Yogurt']]
494	Chocolove	Booth: 5015	['Boulder,', 'CO', 'United States']	Chocolove is a decadent line of gourmet chocolate bars made with premium  Belgian chocolate. Available in 24 distinct flavors ranging from sweet,  creamy Milk Chocolate (33% cocoa) to an impressively strong yet smooth,  Extra Strong Dark (77% cocoa). The cocoa content is boldly indicated on  each bar for easy identification. Tied to chocolates natural  counterpart, love, each bar resembles a love letter, complete with a  romantic poem inside the wrapper. All-natural. Organic and Fair Trade  available.	Brands: Chocolove Premium Chocolate	['Special Attributes', 'Baking & Cooking Ingredients']	[['Kosher/Parve', 'Organic Processed/Packaged', 'Specialty/Gourmet'], ['Baking Chips & Chocolate']]
495	Chocxo Chocolatier	Booth: N942, N943	['Carrollton,', 'TX', 'United States']	Born by passionate chocolatiers on a mission to create truly indulgent chocolate that is better for you and the planet. Our line of natural premium chocolates use simple, organic ingredients that are lower in sugar, without artificial sweeteners. Chocxo products are made with 100% Sustainable Cocoa and are Certified Plastic Neutral.   Truly Indulgent. Lower sugar. Always organic.	Brands: ChocXO Chocolatier	['Special Attributes']	[['Food Service Ready', 'Full Line Organic', 'Kosher/Parve', 'Organic Ingredients', 'Organic Processed/Packaged']]
496	Chomps	Booth: N517	['Naples,', 'FL', 'United States']	Chomps is redefining better-for-you snacking with our all-natural meat snacks. Packed with over 9g of protein, our varieties offer great taste, powerful nutrition, and fuel for on-the-go lifestyles. Chomps appeals to adults and kids alike with most of our consumers being women – a unique attribute in the meat category.   - Sustainably-sourced protein: Grass Fed & Finished (Beef & Venison), Free Range, Hormone Free, and Antibiotic Free (Turkey) - Whole30 Approved, Keto Certified and Certified Humane	Brands: Chomps Meat Snacks	['Special Attributes', 'Snacks']	[['Allergy Free', 'Convenience', 'Dairy Free', 'Full Line', 'Functional Food', 'Gluten/Wheat Free', 'Low Carb', 'Specialty/Gourmet'], ['Jerky']]
497	Chosen Foods, LLC	Booth: 5601	['San Diego,', 'CA', 'United States']	Founded in 2011, Chosen Foods is all-in on avocados. As the leading producer of 100% pure avocado oil and creator of avocado-inspired kitchen condiments including cooking sprays, mayos, dressings, and guacamole, Chosen Foods celebrates the vibrant culinary lifestyle of Coastal California and Mexico. Available in conventional and natural supermarkets nationwide, Chosen Foods inspires at-home chefs to create simple ways of experiencing natural culinary wonder.	Brands: Chosen Foods, Oi!	['Condiments & Sauces', 'Special Attributes']	[['Salad Dressings'], ['Food Service Ready', 'Low Carb', 'Organic Ingredients', 'Vegan']]
498	CHS Inc.	Booth: 379	['Grandin,Â', 'ND', 'United States']	N/A	N/A	['Raw Ingredients', 'Snacks', 'Special Attributes']	[['Other'], ['Nuts & Seeds'], ['Food Service Ready', 'Kosher/Parve', 'Sustainability', 'Vegan']]
499	Chum Fruit Bites	Booth: N1431	['Spain']	N/A	N/A	[]	[]
500	Chunk Foods	Booth: 4399	['Hoboken,', 'NJ', 'United States']	N/A	N/A	[]	[]
501	Churn Foods	Booth: 5273	['Culver City,', 'CA', 'United States']	Churn Foods LLC is a family owned food company specializing in chef crafted gourmet flavored butters. Use these grass fed butters on a variety of food products from meats, chicken, fish, vegetables, pastas and more. Substitute regular butter with our maple and cinnamon when making pancakes in the morning and taste the difference. Churn butters are butters like no other!	Brands: We have 8 gourmet, chef crafted grass fed butters: garlic and shallot, black garlic, bruschetta, pesto, maple and cinnamon, everything, miso and truffle.	['Dairy & Eggs', 'Special Attributes']	[['Butter'], ['Gluten/Wheat Free', 'Specialty/Gourmet']]
502	Chuza	Booth: N643	['San Diego,', 'CA', 'United States']	N/A	N/A	[]	[]
503	CIAPST(BEIJING) INTERNATIONAL EXHIBITION CO., LTD.	Booth: 3406	['Haidian District,', 'Beijing', 'China']	N/A	N/A	[]	[]
504	CIAPST(BEIJING) INTERNATIONAL EXHIBITION CO., LTD.	Booth: 3408	['Haidian District,', 'Beijing', 'China']	N/A	N/A	[]	[]
505	CIAPST(BEIJING) INTERNATIONAL EXHIBITION CO., LTD.	Booth: 3409	['Haidian District,', 'Beijing', 'China']	N/A	N/A	[]	[]
506	CIAPST(BEIJING) INTERNATIONAL EXHIBITION CO., LTD.	Booth: 3427	['Haidian District,', 'Beijing', 'China']	N/A	N/A	[]	[]
507	CIAPST(BEIJING) INTERNATIONAL EXHIBITION CO., LTD.	Booth: 3428	['Haidian District,', 'Beijing', 'China']	N/A	N/A	[]	[]
508	CIAPST(BEIJING) INTERNATIONAL EXHIBITION CO., LTD.	Booth: 3448	['Haidian District,', 'Beijing', 'China']	N/A	N/A	[]	[]
509	CIAPST(BEIJING) INTERNATIONAL EXHIBITION CO., LTD.	Booth: 3450	['Haidian District,', 'Beijing', 'China']	N/A	N/A	[]	[]
510	CIAPST(BEIJING) INTERNATIONAL EXHIBITION CO., LTD.	Booth: 3510	['Haidian District,', 'Beijing', 'China']	N/A	N/A	[]	[]
511	CIAPST(BEIJING) INTERNATIONAL EXHIBITION CO., LTD.	Booth: 3547	['Haidian District,', 'Beijing', 'China']	N/A	N/A	[]	[]
512	CIAPST(BEIJING) INTERNATIONAL EXHIBITION CO., LTD.	Booth: 3549	['Haidian District,', 'Beijing', 'China']	N/A	N/A	[]	[]
513	CIAPST(BEIJING) INTERNATIONAL EXHIBITION CO., LTD.	Booth: 3551	['Haidian District,', 'Beijing', 'China']	N/A	N/A	[]	[]
514	CIAPST(BEIJING) INTERNATIONAL EXHIBITION CO., LTD.	Booth: 3453	['Haidian District,', 'Beijing', 'China']	N/A	N/A	[]	[]
515	CIAPST(BEIJING) INTERNATIONAL EXHIBITION CO., LTD.	Booth: 3625	['Haidian District,', 'Beijing', 'China']	N/A	N/A	[]	[]
516	CIAPST(BEIJING) INTERNATIONAL EXHIBITION CO., LTD.	Booth: 3665	['Haidian District,', 'Beijing', 'China']	N/A	N/A	[]	[]
517	CIAPST(BEIJING) INTERNATIONAL EXHIBITION CO., LTD.	Booth: 3724	['Haidian District,', 'Beijing', 'China']	N/A	N/A	[]	[]
518	CIAPST(BEIJING) INTERNATIONAL EXHIBITION CO., LTD.	Booth: 4073	['Haidian District,', 'Beijing', 'China']	N/A	N/A	[]	[]
519	CIAPST(BEIJING) INTERNATIONAL EXHIBITION CO., LTD.	Booth: 4075	['Haidian District,', 'Beijing', 'China']	N/A	N/A	[]	[]
520	CIAPST(BEIJING) INTERNATIONAL EXHIBITION CO., LTD.	Booth: 4173	['Haidian District,', 'Beijing', 'China']	N/A	N/A	[]	[]
521	CIAPST(BEIJING) INTERNATIONAL EXHIBITION CO., LTD.	Booth: 4175	['Haidian District,', 'Beijing', 'China']	N/A	N/A	[]	[]
522	CIAPST(BEIJING) INTERNATIONAL EXHIBITION CO., LTD.	Booth: 4370	['Haidian District,', 'Beijing', 'China']	N/A	N/A	[]	[]
523	CIAPST(BEIJING) INTERNATIONAL EXHIBITION CO., LTD.	Booth: 4131	['Haidian District,', 'Beijing', 'China']	N/A	N/A	[]	[]
